record_id,display_id,document_type,source,impact,impact_score,updated_on,effective_date,contractor,tags,title,summary,cms_url
220.6.17-v4,220.6.17,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Positron Emission Tomography (FDG) for Oncologic Conditions,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=331&ncdver=4
160.18-v3,160.18,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Vagus Nerve Stimulation (VNS),"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=230&ncdver=3
110.18-v2,110.18,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Aprepitant for Chemotherapy-Induced Emesis,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=309&ncdver=2
90.2-v2,90.2,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Next Generation Sequencing (NGS),"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=372&ncdver=2
150.13-v2,150.13,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Percutaneous Image-Guided Lumbar Decompression for Lumbar Spinal Stenosis,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=358&ncdver=2
210.10-v1,210.10,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Screening for Sexually Transmitted Infections (STIs) and High-Intensity Behavioral Counseling (HIBC) to Prevent STIs,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=352&ncdver=1
A60185-v11,A60185,Article,local,medium,48,04/29/2026,03/01/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Superficial Radiation Therapy (SRT) for the Treatment of Nonmelanoma Skin Cancers (NMSC),Meaningful policy or coding update detected: Revision Effective: 03/01/2026 Revision Explanation: - Under Coding Guidance : “A qualified physician for this service is one that has training and expertise that must have been acquired within the framework of an acc...,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=60185&ver=11
L35249-v20,L35249,LCD,local,medium,48,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Nerve Blocks for Peripheral Neuropathy,"Meaningful policy or coding update detected: R14 Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes were made. 04/29/2026: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires co...",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35249&ver=20
L34195-v28,L34195,LCD,local,medium,48,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Mohs Micrographic Surgery,"Meaningful policy or coding update detected: R21 Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes. 04/29/2026: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and...",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34195&ver=28
L39036-v23,L39036,LCD,local,low,24,05/01/2026,05/07/2026,"National Government Services, Inc. (MAC - Part A, MAC - Part B)",administrative correction,Epidural Steroid Injections for Pain Management,Lower-urgency correction or cleanup: Corrected link for #31 in the bibliography.,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39036&ver=23
A58473-v11,A58473,Article,local,low,24,04/30/2026,01/01/2024,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Non-Invasive Fractional Flow Reserve (FFR) for Ischemic Heart Disease,Lower-urgency correction or cleanup: Posted 04/30/2026: biennial review completed 04/30/2026 with no changes made to the article.,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=58473&ver=11
A57068-v17,A57068,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Ocular Photography - External,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes were made.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57068&ver=17
A57307-v38,A57307,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Nerve Conduction Studies and Electromyography,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57307&ver=38
A57663-v14,A57663,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Nerve Blocks for Peripheral Neuropathy,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57663&ver=14
A56836-v18,A56836,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",administrative correction,Billing and Coding: Mohs Micrographic Surgery,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, correction to typographical error.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=56836&ver=18
L35897-v32,L35897,LCD,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Nerve Conduction Studies and Electromyography,"Lower-urgency correction or cleanup: Revision 22 Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes were made.",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35897&ver=32
L40255-v6,L40255,LCD,local,low,24,04/29/2026,06/21/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",general update,Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,Lower-urgency correction or cleanup: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40255&ver=6
A60428-v3,A60428,Article,local,low,24,04/29/2026,06/21/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",general update,Response to Comments: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,Lower-urgency correction or cleanup: Response to Comments: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=60428&ver=3
A60279-v4,A60279,Article,local,low,24,04/29/2026,06/21/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,Lower-urgency correction or cleanup: Billing and Coding: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=60279&ver=4
110.17-v2,110.17,NCD,national,low,24,04/23/2026,,,general update,Anti-Cancer Chemotherapy for Colorectal Cancer - RETIRED,"Effective 2/25/2026, this section of the NCD Manual is removed.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=291&ncdver=2
